"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"pro-B H3K9ac (8113) BAM","BAM file for H3K9ac ChIP-seq in pro-B cells (replicate number 8113)","chipseqDBData/h3k9ac/1.0.0/h3k9ac-proB-8113.bam","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38046","GSM932943;GSM932944","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"pro-B H3K9ac (8108) BAM","BAM file for H3K9ac ChIP-seq in pro-B cells (replicate number 8108)","chipseqDBData/h3k9ac/1.0.0/h3k9ac-proB-8108.bam","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38046","GSM932945;GSM932946","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"mature B H3K9ac (8059) BAM","BAM file for H3K9ac ChIP-seq in mature B cells (replicate number 8059)","chipseqDBData/h3k9ac/1.0.0/h3k9ac-matureB-8059.bam","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38046","GSM932959;GSM932960;GSM932961;GSM932962","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"mature B H3K9ac (8086) BAM","BAM file for H3K9ac ChIP-seq in mature B cells (replicate number 8086)","chipseqDBData/h3k9ac/1.0.0/h3k9ac-matureB-8086.bam","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38046","GSM932963","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"pro-B H3K9ac (8113) index","BAM file index for H3K9ac ChIP-seq in pro-B cells (replicate number 8113)","chipseqDBData/h3k9ac/1.0.0/h3k9ac-proB-8113.bam.bai","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38046","GSM932943;GSM932944","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"pro-B H3K9ac (8108) index","BAM file index for H3K9ac ChIP-seq in pro-B cells (replicate number 8108)","chipseqDBData/h3k9ac/1.0.0/h3k9ac-proB-8108.bam.bai","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38046","GSM932945;GSM932946","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"mature B H3K9ac (8059) index","BAM file index for H3K9ac ChIP-seq in mature B cells (replicate number 8059)","chipseqDBData/h3k9ac/1.0.0/h3k9ac-matureB-8059.bam.bai","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38046","GSM932959;GSM932960;GSM932961;GSM932962","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"mature B H3K9ac (8086) index","BAM file index for H3K9ac ChIP-seq in mature B cells (replicate number 8086)","chipseqDBData/h3k9ac/1.0.0/h3k9ac-matureB-8086.bam.bai","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38046","GSM932963","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"CBP wild-type (1) BAM","BAM file for CBP ChIP-seq in wild-type fibroblasts (replicate 1)","chipseqDBData/cbp/1.0.0/SRR1145787.bam","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54453","GSM1315600","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
"CBP wild-type (2) BAM","BAM file for CBP ChIP-seq in wild-type fibroblasts (replicate 2)","chipseqDBData/cbp/1.0.0/SRR1145788.bam","3.9","mm10","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54453","GSM1315601","Mus musculus","10090",FALSE,"NCBI GEO","Aaron Lun <infinite.monkeys.with.keyboards@gmail.com>","character","FilePath"
